COUNTY,UNA,DEM,REP,CNV,CON,GRE,LIB,NAT,RFP,SSP,Total
Atlantic,75342,65463,49809,515,636,428,567,243,92,304,193399
Bergen,262932,236159,136920,1356,1436,1101,1575,550,169,535,642733
Burlington,120811,122123,80637,715,722,543,904,322,64,344,327185
Camden,140552,173893,56093,1094,1141,750,1012,483,132,525,375675
Cape May,25591,17047,29187,169,175,107,189,56,9,77,72607
Cumberland,39783,30513,18736,321,518,174,302,215,54,216,90832
Essex,204129,280194,54240,1008,1285,696,867,525,168,538,543650
Gloucester,82369,83776,49562,602,484,399,671,198,70,255,218386
Hudson,132621,212074,38077,1291,1415,886,1249,529,207,644,388993
Hunterdon,36273,24988,38947,142,132,144,284,51,4,50,101015
Mercer,96432,108691,37940,827,840,533,690,347,60,424,246784
Middlesex,222634,226198,82323,1418,1696,989,1397,638,194,722,538209
Monmouth,200972,130371,129972,1139,1160,919,1346,552,135,459,467025
Morris,135981,101633,129077,677,718,602,1001,280,66,271,370306
Ocean,179991,88896,144013,1088,1192,813,1218,463,127,507,418308
Passaic,124445,122780,62654,1376,918,619,925,483,144,524,314868
Salem,19993,14618,12265,250,74,84,164,47,6,83,47584
Somerset,97770,81117,62396,462,526,384,719,191,44,213,243822
Sussex,39449,22578,44765,343,287,299,449,144,27,118,108459
Union,128356,168513,53702,979,1171,595,941,491,147,501,355396
Warren,29743,19626,30893,199,207,149,288,78,20,70,81273
Grand Total,2396169,2331251,1342208,15971,16733,11214,16758,6886,1939,7380,6146509
