"Reporting_Date","Congressional_District","UNA","DEM","REP","Total"
2016-01-31,"1",221066,188160,67283,476970
2016-01-31,"2",224652,122294,114739,462070
2016-01-31,"3",244386,129173,122118,496131
2016-01-31,"4",254694,106793,122147,484069
2016-01-31,"5",232153,116297,128542,477511
2016-01-31,"6",226484,146313,55721,428934
2016-01-31,"7",233717,115079,142591,491933
2016-01-31,"8",152430,170069,25650,348443
2016-01-31,"9",195016,144345,49802,389414
2016-01-31,"10",193697,220936,19647,434525
2016-01-31,"11",232575,124574,148824,506442
2016-01-31,"12",217856,161646,61519,441394
2016-01-31,"Statewide_Total",2628726,1745680,1058583,5437837
2016-03-02,"1",220811,187410,67204,475878
2016-03-02,"2",225213,122104,114696,462413
2016-03-02,"3",245200,128835,122025,496525
2016-03-02,"4",255523,106950,122586,485568
2016-03-02,"5",233518,116645,128685,479375
2016-03-02,"6",227888,146448,56022,430798
2016-03-02,"7",234421,115449,142556,492992
2016-03-02,"8",153809,170082,25782,349975
2016-03-02,"9",196343,144395,49813,390821
2016-03-02,"10",195242,221086,19716,436303
2016-03-02,"11",233935,124902,148932,508246
2016-03-02,"12",219251,161992,61699,443334
2016-03-02,"Statewide_Total",2641154,174629,1059716,545222
2016-03-31,"1",221215,188096,67916,477737
2016-03-31,"2",225784,122387,115138,463756
2016-03-31,"3",245878,129187,122548,498153
2016-03-31,"4",256084,107525,123581,487764
2016-03-31,"5",234234,117661,129603,482122
2016-03-31,"6",228109,146601,56781,431989
2016-03-31,"7",235070,116512,143505,495754
2016-03-31,"8",154957,170870,26278,352477
2016-03-31,"9",197347,145593,50543,393912
2016-03-31,"10",196775,221804,19977,438884
2016-03-31,"11",234771,125915,149933,511161
2016-03-31,"12",219844,162626,62186,445103
2016-03-31,"Statewide_Total",2650068,175477,1067989,547881
2016-04-30,"1",221397,189734,68785,480522
2016-04-30,"2",225649,123722,115903,465853
2016-04-30,"3",245968,130268,123526,500387
2016-04-30,"4",255899,108643,124756,489994
2016-04-30,"5",234360,119226,130504,484807
2016-04-30,"6",227694,147535,57601,433434
2016-04-30,"7",235302,118198,144246,498498
2016-04-30,"8",155590,172446,26802,355276
2016-04-30,"9",198394,147030,51243,397192
2016-04-30,"10",197173,223364,20331,441286
2016-04-30,"11",234965,127348,150825,513751
2016-04-30,"12",219670,163946,62838,447007
2016-04-30,"Statewide_Total",2652061,177146,1077360,550800
2016-05-31,"1",222295,191786,69622,484452
2016-05-31,"2",226662,125203,116795,469399
2016-05-31,"3",246628,131508,124478,503336
2016-05-31,"4",256904,109862,126049,493617
2016-05-31,"5",235041,120515,131306,487652
2016-05-31,"6",228790,149592,58550,437655
2016-05-31,"7",236254,119877,145127,502095
2016-05-31,"8",156947,175355,27396,360278
2016-05-31,"9",199172,148828,51749,400371
2016-05-31,"10",198054,226246,20675,445521
2016-05-31,"11",236014,129168,151687,517557
2016-05-31,"12",220421,165986,63491,450539
2016-05-31,"Statewide_Total",266318,179392,1086925,555247
2016-06-30,"1",207594,204359,73936,486758
2016-06-30,"2",216633,132057,121720,471248
2016-06-30,"3",238508,137415,128728,505463
2016-06-30,"4",238886,121386,134682,495835
2016-06-30,"5",221081,129698,136998,488601
2016-06-30,"6",215031,159536,62887,438165
2016-06-30,"7",218968,131287,152444,503584
2016-06-30,"8",152936,180013,28137,361733
2016-06-30,"9",192619,155102,53611,402077
2016-06-30,"10",193105,231564,21063,446343
2016-06-30,"11",225113,136314,156109,518277
2016-06-30,"12",202851,181216,67145,451922
2016-06-30,"Statewide_Total",252332,189994,1137460,557000
2016-08-05,"1",199147,213061,76346,489579
2016-08-05,"2",211346,136194,124455,472988
2016-08-05,"3",220881,149112,136970,507922
2016-08-05,"4",233654,125252,139538,499500
2016-08-05,"5",211650,138540,142243,493373
2016-08-05,"6",207951,167008,65574,441520
2016-08-05,"7",215484,136289,155716,508499
2016-08-05,"8",150046,183216,28581,362553
2016-08-05,"9",179970,167462,56506,404757
2016-08-05,"10",178900,245518,22049,447152
2016-08-05,"11",210682,145965,162029,519445
2016-08-05,"12",198972,186720,69434,456067
2016-08-05,"Statewide_Total",241868,199433,1179441,560335
2016-08-31,"1",199883,213974,76736,491742
2016-08-31,"2",208195,139543,125973,474863
2016-08-31,"3",222284,149975,137710,511079
2016-08-31,"4",234820,125848,140314,502159
2016-08-31,"5",213489,139718,143018,497326
2016-08-31,"6",209118,168255,66184,444749
2016-08-31,"7",214696,139023,156766,511630
2016-08-31,"8",140316,193863,29983,365048
2016-08-31,"9",181193,169692,57172,409151
2016-08-31,"10",177349,250168,22557,450929
2016-08-31,"11",213473,147562,162959,524948
2016-08-31,"12",200049,188660,70106,459911
2016-08-31,"Statewide_Total",241486,202628,1189478,564353
2016-10-05,"1",201153,214762,77156,494346
2016-10-05,"2",207968,141356,127149,477777
2016-10-05,"3",224068,150338,138375,514069
2016-10-05,"4",236233,126091,141072,504721
2016-10-05,"5",216040,140634,143660,501557
2016-10-05,"6",210454,168879,66536,447165
2016-10-05,"7",217274,140033,157456,516018
2016-10-05,"8",142956,196631,30689,371343
2016-10-05,"9",182565,171278,57697,412752
2016-10-05,"10",179437,253166,22911,456613
2016-10-05,"11",216908,149317,164200,531585
2016-10-05,"12",202093,189803,70399,463520
2016-10-05,"Statewide_Total",2437149,2042288,1197300,5691466
