"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP"
"1","ATLANTIC",2019-11-30,191607,74806,64986,49202,2613,401,540,85,597,229,474,287
"2","BERGEN",2019-11-30,634450,260310,232530,135455,6155,1026,1467,163,1284,499,1226,490
"3","BURLINGTON",2019-11-30,324421,119808,121194,80013,3406,505,857,56,683,306,678,321
"4","CAMDEN",2019-11-30,371829,139259,172391,55355,4824,693,965,126,1065,451,1031,493
"5","CAPE MAY",2019-11-30,72397,25602,16976,29069,750,103,186,9,161,51,162,78
"6","CUMBERLAND",2019-11-30,90690,39816,30559,18585,1730,173,288,53,494,206,302,214
"7","ESSEX",2019-11-30,536872,202430,276434,53457,4551,636,798,158,1173,445,869,472
"8","GLOUCESTER",2019-11-30,216122,81639,83289,48675,2519,389,638,64,444,181,577,226
"9","HUDSON",2019-11-30,386789,132017,211180,37651,5941,853,1197,199,1346,504,1246,596
"10","HUNTERDON",2019-11-30,100170,35889,24594,38887,800,148,284,4,129,47,140,48
"11","MERCER",2019-11-30,253984,101074,110526,38891,3493,520,653,52,779,324,768,397
"12","MIDDLESEX",2019-11-30,538943,222792,226698,82420,7033,1003,1390,196,1692,633,1411,708
"13","MONMOUTH",2019-11-30,463266,199794,129275,128782,5415,883,1281,135,1072,521,1090,433
"14","MORRIS",2019-11-30,368701,135289,100607,129343,3462,568,969,65,695,262,651,252
"15","OCEAN",2019-11-30,416210,179192,88559,143233,5226,783,1178,126,1141,447,1059,492
"16","PASSAIC",2019-11-30,313573,123845,122367,62566,4795,604,892,137,866,474,1323,499
"17","SALEM",2019-11-30,47030,19768,14572,12037,653,78,147,6,71,44,229,78
"18","SOMERSET",2019-11-30,243479,97450,80872,62787,2370,359,666,41,492,182,430,200
"19","SUSSEX",2019-11-30,107299,39087,22251,44409,1552,275,419,24,260,133,328,113
"20","UNION",2019-11-30,351180,126998,166657,53086,4439,562,864,134,1093,446,885,455
"21","WARREN",2019-11-30,80237,29299,19336,30647,955,138,260,19,211,73,186,68
"22","Summary Total :",2019-11-30,6109249,2386164,2315853,1334550,72682,10700,15939,1852,15748,6458,15065,6920
"23","ATLANTIC",2019-12-31,191261,74592,64881,49183,2605,401,540,83,595,229,472,285
"24","BERGEN",2019-12-31,636028,261132,233030,135617,6249,1030,1495,163,1320,503,1237,501
"25","BURLINGTON",2019-12-31,325041,119985,121401,80180,3475,518,875,57,696,312,688,329
"26","CAMDEN",2019-12-31,372914,139644,172797,55558,4915,709,986,129,1084,455,1050,502
"27","CAPE MAY",2019-12-31,72372,25574,17000,29041,757,106,190,9,167,52,158,75
"28","CUMBERLAND",2019-12-31,90995,39812,30682,18704,1797,175,302,55,517,214,318,216
"29","ESSEX",2019-12-31,538946,202667,277749,53764,4766,660,837,161,1218,481,922,487
"30","GLOUCESTER",2019-12-31,217421,82074,83673,49081,2593,396,655,69,457,191,584,241
"31","HUDSON",2019-12-31,387634,132242,211582,37777,6033,867,1208,206,1369,506,1267,610
"32","HUNTERDON",2019-12-31,100468,36059,24686,38917,806,148,283,4,129,51,140,51
"33","MERCER",2019-12-31,245096,95901,107867,37786,3542,516,653,55,796,332,782,408
"34","MIDDLESEX",2019-12-31,538505,222471,226588,82384,7062,1003,1396,198,1697,636,1418,714
"35","MONMOUTH",2019-12-31,464430,200173,129561,129165,5531,905,1307,134,1098,536,1112,439
"36","MORRIS",2019-12-31,370951,136133,101463,129745,3610,598,1004,64,718,276,681,269
"37","OCEAN",2019-12-31,417742,179720,88825,143831,5366,804,1216,126,1177,459,1086,498
"38","PASSAIC",2019-12-31,313925,123917,122513,62598,4897,611,909,141,883,483,1356,514
"39","SALEM",2019-12-31,47234,19857,14573,12125,679,80,155,6,69,45,244,80
"40","SOMERSET",2019-12-31,243774,97581,81081,62717,2395,362,677,41,492,182,437,204
"41","SUSSEX",2019-12-31,107490,39155,22310,44459,1566,277,426,25,262,136,328,112
"42","UNION",2019-12-31,352023,127169,167062,53250,4542,568,884,138,1109,457,923,463
"43","WARREN",2019-12-31,80380,29349,19364,30691,976,146,268,18,211,75,189,69
"44","Summary Total :",2019-12-31,6114630,2385207,2318688,1336573,74162,10880,16266,1882,16064,6611,15392,7067
"45","Atlantic",2020-02-01,192048,74980,65049,49386,2633,407,547,86,593,232,479,289
"46","Bergen",2020-02-01,635955,261124,233031,135549,6251,1025,1494,163,1323,502,1242,502
"47","Burlington",2020-02-01,325282,120042,121503,80243,3494,525,882,58,696,313,690,330
"48","Camden",2020-02-01,373454,139860,173008,55650,4936,717,987,130,1090,456,1053,503
"49","Cape May",2020-02-01,72574,25643,17013,29146,772,107,189,9,172,55,163,77
"50","Cumberland",2020-02-01,91010,39808,30673,18723,1806,175,301,55,520,216,322,217
"51","Essex",2020-02-01,540666,203592,278362,53881,4831,675,830,159,1226,495,944,502
"52","Gloucester",2020-02-01,217461,82115,83636,49118,2592,395,657,69,457,191,583,240
"53","Hudson",2020-02-01,387605,132255,211517,37781,6052,869,1211,204,1370,512,1273,613
"54","Hunterdon",2020-02-01,100682,36150,24782,38941,809,144,286,4,131,51,143,50
"55","Mercer",2020-02-01,244858,95855,107757,37710,3536,515,651,55,795,331,781,408
"56","Middlesex",2020-02-01,538736,222783,226512,82397,7044,998,1392,197,1692,636,1415,714
"57","Monmouth",2020-02-01,466210,200722,130075,129769,5644,920,1324,135,1127,549,1137,452
"58","Morris",2020-02-01,370610,136113,101415,129487,3595,593,1001,64,713,276,679,269
"59","Ocean",2020-02-01,417563,179795,88748,143664,5356,806,1210,126,1176,458,1082,498
"60","Passaic",2020-02-01,314351,124260,122565,62625,4901,613,909,142,888,481,1352,516
"61","Salem",2020-02-01,47352,19912,14592,12166,682,82,155,6,69,46,243,81
"62","Somerset",2020-02-01,243707,97600,81090,62624,2393,362,677,40,490,182,438,204
"63","Sussex",2020-02-01,107371,39025,22317,44464,1565,280,424,25,261,136,327,112
"64","Union",2020-02-01,352541,127464,167222,53252,4603,574,901,140,1118,465,939,466
"65","Warren",2020-02-01,80481,29399,19398,30709,975,148,268,19,210,74,191,65
"66","Grand Total",2020-02-01,6120517,2388497,2320265,1337285,74470,10930,16296,1886,16117,6657,15476,7108
